,Date,BTC,num_of_articles,neg_average,neu_average,pos_average,compound_average
132,2021-05-13T00:00:00Z,702936.14375205,91,0.04,0.84,0.11,0.64
133,2021-05-14T00:00:00Z,707410.58948241,78,0.04,0.84,0.1,0.6
134,2021-05-15T00:00:00Z,665142.85268944,25,0.05,0.86,0.09,0.6
135,2021-05-16T00:00:00Z,659355.41053513,30,0.05,0.81,0.11,0.73
136,2021-05-17T00:00:00Z,646939.68938956,71,0.05,0.84,0.11,0.5
137,2021-05-18T00:00:00Z,626985.55648127,93,0.04,0.85,0.09,0.55
138,2021-05-19T00:00:00Z,598590.31606481,84,0.05,0.84,0.1,0.48
139,2021-05-20T00:00:00Z,507419.11276190,87,0.04,0.84,0.1,0.63
140,2021-05-21T00:00:00Z,585778.89029212,91,0.05,0.84,0.11,0.58
141,2021-05-22T00:00:00Z,528153.48647260,57,0.04,0.85,0.11,0.59
142,2021-05-23T00:00:00Z,535089.24057325,61,0.05,0.86,0.09,0.42
143,2021-05-24T00:00:00Z,493148.88395587,83,0.05,0.85,0.1,0.52
144,2021-05-25T00:00:00Z,550559.73302041,92,0.04,0.85,0.1,0.63
145,2021-05-26T00:00:00Z,529672.76387823,91,0.04,0.87,0.1,0.62
146,2021-05-27T00:00:00Z,532750.14054527,92,0.05,0.84,0.11,0.56
147,2021-05-28T00:00:00Z,524149.07602587,91,0.04,0.85,0.1,0.55
148,2021-05-29T00:00:00Z,500601.20779262,91,0.04,0.85,0.1,0.59
149,2021-05-30T00:00:00Z,467833.33539894,98,0.05,0.85,0.09,0.51
150,2021-05-31T00:00:00Z,487919.18797894,89,0.04,0.86,0.1,0.53
151,2021-06-01T00:00:00Z,519047.92789253,97,0.05,0.85,0.09,0.51
152,2021-06-02T00:00:00Z,498498.23034452,92,0.04,0.86,0.1,0.64
153,2021-06-03T00:00:00Z,507972.04708465,89,0.04,0.86,0.1,0.66
154,2021-06-04T00:00:00Z,527505.80449514,96,0.04,0.85,0.11,0.64
155,2021-06-05T00:00:00Z,506420.77483292,87,0.04,0.85,0.09,0.62
156,2021-06-06T00:00:00Z,478901.32286098,98,0.05,0.84,0.1,0.63
157,2021-06-07T00:00:00Z,487622.69150652,91,0.04,0.83,0.09,0.47
158,2021-06-08T00:00:00Z,456437.41010061,88,0.04,0.84,0.11,0.57
